datetime;name;temp;radiation_temp;humidity;precip;precip_sum;wind_speed;wind_gust;wind_direction;pressure;pressure_at_sea_level;duplicated_timestamp_label;temp_repetitions_label;temp_gross_value_label;temp_persistance_label;temp_step_label;temp_window_variation_label;temp_final_label;network;lat;lon;call_name;location
2022-10-04 00:00:00;vlinder01;9.3;NaN;93.0;0.0;0.0;0.0;0.0;195.0;102140.0;102413.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 01:00:00;vlinder01;9.1;NaN;95.0;0.0;0.0;0.0;0.0;195.0;102087.0;102360.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 02:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;not checked;not checked;not checked;not checked;not checked;not checked;gap;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 03:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;not checked;not checked;not checked;not checked;not checked;not checked;gap;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 04:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;not checked;not checked;not checked;not checked;not checked;not checked;gap;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 05:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;not checked;not checked;not checked;not checked;not checked;not checked;gap;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 06:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;not checked;not checked;not checked;not checked;not checked;not checked;gap;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 07:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;not checked;not checked;not checked;not checked;not checked;not checked;gap;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 08:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;not checked;not checked;not checked;not checked;not checked;not checked;gap;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 09:00:00;vlinder01;12.2;NaN;86.0;0.0;0.0;9.8;16.1;215.0;101841.0;102112.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 10:00:00;vlinder01;14.1;NaN;87.0;0.0;0.0;12.6;0.0;5.0;101828.0;102097.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 11:00:00;vlinder01;15.5;NaN;83.0;0.0;0.0;11.3;19.3;235.0;101811.0;102080.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 12:00:00;vlinder01;16.9;NaN;81.0;0.0;0.0;12.6;19.3;195.0;101797.0;102065.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 13:00:00;vlinder01;18.0;NaN;79.0;0.0;0.0;12.4;17.7;215.0;101736.0;102003.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 14:00:00;vlinder01;18.2;NaN;78.0;0.0;0.0;13.6;19.3;185.0;101665.0;101932.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 15:00:00;vlinder01;17.9;NaN;79.0;0.0;0.0;12.8;17.7;195.0;101655.0;101922.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 16:00:00;vlinder01;17.6;NaN;80.0;0.0;0.0;7.5;11.3;215.0;101641.0;101908.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
2022-10-04 17:00:00;vlinder01;16.8;NaN;82.0;0.0;0.0;6.9;11.3;185.0;101657.0;101925.0;ok;ok;ok;ok;ok;ok;ok;Vlinder;50.980438;3.815763;Proefhoeve;Melle
