,Datum,Tijd (UTC),Temperatuur,Vochtigheid,Luchtdruk,Neerslagintensiteit,Neerslagsom,Windrichting,Windsnelheid,Rukwind,Luchtdruk_Zeeniveau,Globe Temperatuur,Vlinder
0,2022-09-01,00:00:00,18.8,65,101739,0.0,0.0,65,5.6,11.3,102005.0,,vlinder01
1,2022-09-01,00:05:00,18.8,65,101731,0.0,0.0,75,5.5,12.9,101997.0,,vlinder01
2,2022-09-01,00:10:00,18.8,65,101736,0.0,0.0,75,5.1,11.3,102002.0,,vlinder01
3,2022-09-01,00:15:00,18.7,65,101736,0.0,0.0,85,6.0,12.9,102002.0,,vlinder01
4,2022-09-01,00:20:00,18.7,65,101733,0.0,0.0,65,5.0,11.3,101999.0,,vlinder01
5,2022-09-01,00:25:00,18.7,65,101746,0.0,0.0,85,6.3,11.3,102013.0,,vlinder01
6,2022-09-01,00:30:00,18.7,65,101732,0.0,0.0,85,5.4,9.7,101999.0,,vlinder01
7,2022-09-01,00:35:00,18.6,65,101736,0.0,0.0,85,4.8,8.1,102003.0,,vlinder01
8,2022-09-01,00:40:00,18.6,65,101739,0.0,0.0,65,3.5,8.1,102006.0,,vlinder01
9,2022-09-01,00:45:00,18.6,65,101734,0.0,0.0,55,3.1,6.4,102001.0,,vlinder01
10,2022-09-01,00:50:00,18.5,65,101736,0.0,0.0,55,3.8,8.1,102003.0,,vlinder01
11,2022-09-01,00:55:00,18.4,65,101738,0.0,0.0,45,5.6,8.1,102005.0,,vlinder01
12,2022-09-01,01:00:00,18.4,65,101736,0.0,0.0,55,5.1,8.1,102003.0,,vlinder01
13,2022-09-01,01:05:00,18.3,66,101734,0.0,0.0,45,5.2,8.1,102001.0,,vlinder01
14,2022-09-01,01:10:00,18.2,66,101724,0.0,0.0,45,6.3,11.3,101991.0,,vlinder01
15,2022-09-01,01:15:00,18.1,66,101725,0.0,0.0,45,6.3,11.3,101992.0,,vlinder01
16,2022-09-01,01:20:00,18.0,66,101736,0.0,0.0,45,6.9,11.3,102003.0,,vlinder01
17,2022-09-01,01:25:00,18.0,65,101725,0.0,0.0,45,5.9,12.9,101992.0,,vlinder01
18,2022-09-01,01:30:00,18.0,65,101736,0.0,0.0,55,7.1,12.9,102003.0,,vlinder01
19,2022-09-01,01:35:00,17.9,65,101732,0.0,0.0,55,5.1,11.3,101999.0,,vlinder01
20,2022-09-01,01:40:00,17.8,65,101729,0.0,0.0,45,5.2,9.7,101996.0,,vlinder01
21,2022-09-01,01:45:00,17.7,65,101732,0.0,0.0,45,3.3,6.4,101999.0,,vlinder01
22,2022-09-01,01:50:00,17.5,66,101728,0.0,0.0,45,4.4,8.1,101995.0,,vlinder01
23,2022-09-01,01:55:00,17.3,67,101727,0.0,0.0,45,5.6,9.7,101994.0,,vlinder01
24,2022-09-01,02:00:00,17.1,68,101723,0.0,0.0,45,5.7,9.7,101990.0,,vlinder01
25,2022-09-01,02:05:00,17.0,69,101727,0.0,0.0,45,4.7,9.7,101995.0,,vlinder01
26,2022-09-01,02:10:00,16.8,69,101732,0.0,0.0,55,4.0,8.1,102000.0,,vlinder01
27,2022-09-01,02:15:00,16.8,69,101725,0.0,0.0,75,3.3,8.1,101993.0,,vlinder01
28,2022-09-01,02:20:00,16.8,69,101724,0.0,0.0,65,3.6,8.1,101992.0,,vlinder01
29,2022-09-01,02:25:00,16.8,69,101720,0.0,0.0,65,3.9,8.1,101988.0,,vlinder01
30,2022-09-01,02:30:00,16.8,69,101720,0.0,0.0,75,4.6,9.7,101988.0,,vlinder01
31,2022-09-01,02:35:00,16.7,69,101718,0.0,0.0,65,4.5,8.1,101986.0,,vlinder01
32,2022-09-01,02:40:00,16.8,69,101720,0.0,0.0,75,2.6,6.4,101988.0,,vlinder01
33,2022-09-01,02:45:00,16.7,69,101721,0.0,0.0,75,2.5,6.4,101989.0,,vlinder01
34,2022-09-01,02:50:00,16.7,69,101717,0.0,0.0,75,3.5,6.4,101985.0,,vlinder01
