;datetime;name;temp;radiation_temp;humidity;precip;precip_sum;wind_speed;wind_gust;wind_direction;pressure;pressure_at_sea_level;network;lat;lon;lcz;call_name;location;duplicated_timestamp_label;missing_timestamp_label;gap_timestamp_label
0;2022-10-04 00:00:00;vlinder01;9.3;NaN;93.0;0.0;0.0;0.0;0.0;195.0;102140.0;102413.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
1;2022-10-04 01:00:00;vlinder01;9.1;NaN;95.0;0.0;0.0;0.0;0.0;195.0;102087.0;102360.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
5378;2022-10-04 01:10:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;missing timestamp;ok
5404;2022-10-04 01:35:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;NaN;missing timestamp (gap)
2;2022-10-04 02:00:00;vlinder01;8.9;NaN;94.0;0.0;0.0;3.1;4.8;195.0;102068.0;102341.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
5405;2022-10-04 02:35:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;NaN;missing timestamp (gap)
3;2022-10-04 03:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
5406;2022-10-04 03:35:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;NaN;missing timestamp (gap)
4;2022-10-04 04:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
5407;2022-10-04 04:35:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;NaN;missing timestamp (gap)
5;2022-10-04 05:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
5408;2022-10-04 05:35:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;NaN;missing timestamp (gap)
6;2022-10-04 06:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
5409;2022-10-04 06:35:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;NaN;missing timestamp (gap)
7;2022-10-04 07:00:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
5410;2022-10-04 07:35:00;vlinder01;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;NaN;NaN;missing timestamp (gap)
8;2022-10-04 08:00:00;vlinder01;11.7;NaN;93.0;0.0;0.0;7.3;0.0;5.0;101860.0;102131.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
9;2022-10-04 09:00:00;vlinder01;12.2;NaN;86.0;0.0;0.0;9.8;16.1;215.0;101841.0;102112.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
10;2022-10-04 10:00:00;vlinder01;14.1;NaN;87.0;0.0;0.0;12.6;0.0;5.0;101828.0;102097.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
11;2022-10-04 11:00:00;vlinder01;15.5;NaN;83.0;0.0;0.0;11.3;19.3;235.0;101811.0;102080.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
12;2022-10-04 12:00:00;vlinder01;16.9;NaN;81.0;0.0;0.0;12.6;19.3;195.0;101797.0;102065.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
13;2022-10-04 13:00:00;vlinder01;18.0;NaN;79.0;0.0;0.0;12.4;17.7;215.0;101736.0;102003.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
14;2022-10-04 14:00:00;vlinder01;18.2;NaN;78.0;0.0;0.0;13.6;19.3;185.0;101665.0;101932.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
15;2022-10-04 15:00:00;vlinder01;17.9;NaN;79.0;0.0;0.0;12.8;17.7;195.0;101655.0;101922.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
16;2022-10-04 16:00:00;vlinder01;17.6;NaN;80.0;0.0;0.0;7.5;11.3;215.0;101641.0;101908.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
17;2022-10-04 17:00:00;vlinder01;16.8;NaN;82.0;0.0;0.0;6.9;11.3;185.0;101657.0;101925.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
18;2022-10-04 18:00:00;vlinder01;16.3;NaN;85.0;0.0;0.0;2.3;4.8;235.0;101681.0;101949.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
19;2022-10-04 19:00:00;vlinder01;15.8;NaN;86.0;0.0;0.0;5.3;11.3;195.0;101658.0;101926.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
20;2022-10-04 20:00:00;vlinder01;15.4;NaN;88.0;0.0;0.0;6.3;11.3;195.0;101631.0;101899.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
21;2022-10-04 21:00:00;vlinder01;15.5;NaN;87.0;0.0;0.0;3.7;8.1;215.0;101646.0;101914.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
22;2022-10-04 22:00:00;vlinder01;15.2;NaN;89.0;0.0;0.0;2.8;4.8;195.0;101655.0;101924.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
23;2022-10-04 23:00:00;vlinder01;15.2;NaN;89.0;0.0;0.0;4.6;8.1;205.0;101600.0;101868.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
24;2022-10-05 00:00:00;vlinder01;15.2;NaN;88.0;0.0;0.0;8.0;16.1;205.0;101587.0;101855.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
25;2022-10-05 01:00:00;vlinder01;15.3;NaN;87.0;0.0;0.0;11.4;17.7;215.0;101517.0;101785.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
26;2022-10-05 02:00:00;vlinder01;15.2;NaN;86.0;0.0;0.0;8.0;16.1;215.0;101469.0;101737.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
27;2022-10-05 03:00:00;vlinder01;15.1;NaN;84.0;0.0;0.0;12.9;20.9;235.0;101416.0;101684.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
28;2022-10-05 04:00:00;vlinder01;15.1;NaN;84.0;0.0;0.0;7.2;11.3;215.0;101382.0;101650.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
29;2022-10-05 05:00:00;vlinder01;14.9;NaN;85.0;0.0;0.0;8.8;16.1;185.0;101318.0;101586.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
30;2022-10-05 06:00:00;vlinder01;15.4;NaN;82.0;0.0;0.0;11.1;17.7;225.0;101299.0;101567.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
31;2022-10-05 07:00:00;vlinder01;15.3;NaN;85.0;0.0;0.0;12.8;20.9;215.0;101329.0;101597.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
32;2022-10-05 08:00:00;vlinder01;15.5;NaN;85.0;0.0;0.0;11.9;22.5;225.0;101307.0;101575.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
33;2022-10-05 09:00:00;vlinder01;15.9;NaN;85.0;0.0;0.0;14.0;20.9;215.0;101281.0;101548.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
34;2022-10-05 10:00:00;vlinder01;16.8;NaN;82.0;0.0;0.0;18.8;32.2;225.0;101248.0;101515.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
35;2022-10-05 11:00:00;vlinder01;17.1;NaN;82.0;0.0;0.0;14.3;22.5;225.0;101218.0;101485.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
36;2022-10-05 12:00:00;vlinder01;17.4;NaN;78.0;0.0;0.0;15.8;27.4;235.0;101204.0;101470.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
37;2022-10-05 13:00:00;vlinder01;17.1;NaN;81.0;0.0;0.0;17.9;29.0;215.0;101197.0;101464.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
38;2022-10-05 14:00:00;vlinder01;17.1;NaN;79.0;0.0;0.0;14.2;24.1;225.0;101237.0;101504.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
39;2022-10-05 15:00:00;vlinder01;17.3;NaN;80.0;0.0;0.0;15.0;27.4;225.0;101212.0;101478.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
40;2022-10-05 16:00:00;vlinder01;17.6;NaN;80.0;0.0;0.0;16.9;27.4;205.0;101242.0;101508.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
41;2022-10-05 17:00:00;vlinder01;17.7;NaN;80.0;0.0;0.0;16.5;22.5;195.0;101269.0;101535.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
42;2022-10-05 18:00:00;vlinder01;18.2;NaN;80.0;0.0;0.0;16.0;27.4;235.0;101367.0;101633.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
43;2022-10-05 19:00:00;vlinder01;15.7;NaN;89.0;0.0;1.0;10.9;19.3;245.0;101490.0;101758.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
44;2022-10-05 20:00:00;vlinder01;16.1;NaN;90.0;0.0;1.0;13.7;25.7;245.0;101620.0;101888.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
45;2022-10-05 21:00:00;vlinder01;15.9;NaN;85.0;0.0;1.0;11.1;19.3;255.0;101766.0;102034.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
46;2022-10-05 22:00:00;vlinder01;14.8;NaN;83.0;0.0;1.0;8.8;14.5;255.0;101895.0;102164.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
47;2022-10-05 23:00:00;vlinder01;13.9;NaN;84.0;0.0;1.0;11.9;22.5;245.0;102008.0;102278.0;Vlinder;50.980438;3.815763;NaN;Proefhoeve;Melle;ok;ok;ok
